"","num_nodes.0.4","num_edges.0.4","avg_node_degree.0.4","avg_local_clustering_coef.0.4","expected_num_edges.0.4","PPI_enrichment_p-value.0.4","num_nodes.0.7","num_edges.0.7","avg_node_degree.0.7","avg_local_clustering_coef.0.7","expected_num_edges.0.7","PPI_enrichment_p-value.0.7","num_nodes.0.9","num_edges.0.9","avg_node_degree.0.9","avg_local_clustering_coef.0.9","expected_num_edges.0.9","PPI_enrichment_p-value.0.9"
"A0A087WUL8",12,20,3.33,0.905,11,0.0095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WVF3",25,39,3.12,0.937,26,0.00906,2,1,1,1,1,0.5,2,1,1,1,1,0.5
"A0A087WXS9",20,53,5.3,0.814,19,1.35e-10,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"A0A087X179",10,11,2.2,0.906,9,0.324,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"A6NCC3",7,16,4.57,0.952,6,0.00107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NDS4",28,121,8.64,0.728,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NER0",9,17,3.78,0.791,8,0.0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NKT7",59,440,14.9,0.819,83,NA,9,24,5.33,0.874,9,1.53e-05,3,3,2,1,2,0.219
"A6NM11",12,17,2.83,0.898,11,0.0671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NMD2",23,37,3.22,0.959,23,0.00529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NMS7",21,44,4.19,0.869,21,9.1e-06,4,3,1.5,0.75,3,0.563,NA,NA,NA,NA,NA,NA
"A7E2F4",19,62,6.53,0.939,19,2.55e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8MQT2",19,67,7.05,0.924,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D6RF30",11,21,3.82,0.931,10,0.00238,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"F8WBI6",6,15,5,1,5,0.000254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H3BPF8",10,21,4.2,0.933,9,0.000746,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"H3BQL2",6,15,5,1,5,0.000254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H3BSY2",9,19,4.22,0.933,8,0.00101,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"H3BV12",6,15,5,1,5,0.000254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I6L899",7,16,4.57,0.952,6,0.000823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O14715",59,343,11.6,0.86,88,NA,11,34,6.18,0.846,11,4.48e-08,4,6,3,1,3,0.0598
"O60309",14,20,2.86,0.895,14,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P0C7X1",10,35,7,0.902,9,4.75e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P0CJ92",6,15,5,1,5,0.000254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P0DJD0",42,290,13.8,0.839,60,NA,8,20,5,0.902,8,0.00015,3,3,2,1,2,0.219
"P0DJD1",81,1373,33.9,0.772,153,NA,32,358,22.4,0.889,45,NA,6,15,5,1,6,0.000406
"Q08AF8",11,24,4.36,0.907,11,0.00035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q3BBV0",29,74,5.1,0.955,29,1.74e-12,10,37,7.4,0.978,9,2.8e-12,NA,NA,NA,NA,NA,NA
"Q5TZJ5",4,3,1.5,0.75,3,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q6DHY5",14,64,9.14,0.927,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q6ZQQ2",14,26,3.71,0.862,14,0.00166,3,2,1.33,0.667,2,0.526,NA,NA,NA,NA,NA,NA
"Q6ZUB1",6,8,2.67,0.8,5,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q7Z3J3",34,235,13.8,0.871,49,NA,7,19,5.43,0.924,7,6.22e-05,3,3,2,1,2,0.219
"Q86T75",26,113,8.69,0.83,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q8IWB4",6,6,2,0.85,5,0.387,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"Q8IZP1",27,45,3.33,0.919,28,0.00231,3,2,1.33,0.667,2,0.527,NA,NA,NA,NA,NA,NA
"Q8N660",20,51,5.1,0.724,19,1.4e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q96M43",12,26,4.33,0.881,11,9.57e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q96QE4",20,54,5.4,0.907,19,1.02e-10,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
"Q99666",63,355,11.3,0.843,88,NA,9,22,4.89,0.867,9,0.000124,3,3,2,1,2,0.219
"Q9BSJ1",16,34,4.25,0.877,15,1.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9H094",12,17,2.83,0.792,11,0.0653,3,2,1.33,0.667,2,0.527,NA,NA,NA,NA,NA,NA
"Q9UND3",7,6,1.71,0.857,6,0.559,2,1,1,1,1,0.5,NA,NA,NA,NA,NA,NA
